,Substrate,ParametersType,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,CellVoltage,CurrentDensity,FaradaicEfficiency,ElectrodeArea,I,kWh,ActualProductionRate_mass,CO2rate_fed,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass,BioProduct,SubstratePathway,YieldBP_Molar,YieldBP_Mass,BioproductionCost_massNOCT,BioproductionCost_mass1,CO2_OverallCons_mass,BioproductionCost_mass2
13,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,40181.581267268404,200907906.336342,301361.85950451304,33.02185708612678,109.9685105551923,296.5993223322216,258.0884395992351,13.248210369269122,339.67768824673516,567.9359723007257,228.2582840539905,1.9981040485102068,Acetone,Acetaldehyde,0.574234234234234,0.757074320041893,833.5244671726676,335.00055265579584,2.5665659656279574,397.20825301591486
14,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,33366.9721486036,166834860.743018,250252.29111452698,27.421503856681483,91.31836312045586,296.59932233222156,258.0884395992351,13.24821036926912,339.67768824673516,567.9359723007257,228.2582840539905,1.9981040485102066,Acrylate-PW1,Acetaldehyde,0.565230769230772,0.911693251058094,692.1625979907776,278.18601851137765,2.1016897857208,334.8753344182416
15,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,26180.239685827415,130901198.42913708,196351.79764370562,21.51533379524237,71.64979260220376,296.5993223322216,258.08843959923513,13.24821036926912,339.6776882467353,567.9359723007258,228.2582840539905,1.998104048510207,Acrylate-PW2,Acetaldehyde,0.720392156862745,1.16196198664267,543.0814230389173,218.26902990892685,2.049240264338794,194.71057810132226
16,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,35852.898695118995,179264493.47559497,268896.7402133924,29.46447749178105,98.12181960594263,296.5993223322216,258.08843959923513,13.24821036926912,339.67768824673516,567.9359723007257,228.2582840539905,1.9981040485102066,Adipate,Acetaldehyde,0.259341176470588,0.848479325892462,743.7305187834451,298.91160323650524,2.0938442112667235,387.77700286810204
17,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,48989.23795873736,244946189.79368678,367419.28469053016,40.26012823814529,134.073208710297,296.5993223322216,258.0884395992351,13.248210369269119,339.67768824673516,567.9359723007258,228.25828405399062,1.9981040485102064,Benzoate-PW1,Acetaldehyde,0.225860655737705,0.620961757799699,1016.2300033725757,408.4314572192292,2.901205034798725,523.0251474567924
18,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,48989.23795873729,244946189.79368645,367419.2846905297,40.260128238145235,134.07320871029685,296.5993223322216,258.08843959923513,13.248210369269122,339.6776882467353,567.9359723007257,228.2582840539904,1.9981040485102073,Benzoate-PW2,Acetaldehyde,0.225860655737705,0.6209617577997,1016.230003372574,408.43145721922815,2.9012050347987195,523.0251474567916
19,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,62962.7419403051,314813709.7015255,472220.56455228827,51.74377415049847,172.31574102551465,296.5993223322216,258.08843959923513,13.24821036926912,339.6776882467353,567.9359723007258,228.2582840539905,1.998104048510207,BenzylAlcohol,Acetaldehyde,0.196821428571429,0.483149913403817,1306.0955858965558,524.930893247556,3.3084047891095394,743.6667717479341
20,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,64378.41152620424,321892057.6310212,482838.08644653176,52.90719373908539,176.19013000896732,296.59932233222156,258.0884395992351,13.248210369269119,339.67768824673516,567.9359723007257,228.2582840539905,1.9981040485102068,BetaCarotene,Acetaldehyde,0.0387723214285714,0.472525534491374,1335.46215635157,536.7335669775849,3.7488645162503227,698.1551885890151
21,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,70286.6915964244,351433457.982122,527150.1869731831,57.76271146512745,192.35984605233017,296.5993223322216,258.0884395992351,13.24821036926912,339.6776882467352,567.9359723007259,228.25828405399068,1.9981040485102068,Butane,Acetaldehyde,0.328035714285714,0.432805167310974,1458.0231866077086,585.9918845038117,3.541802765456851,855.9167164800439
22,Acetaldehyde,Categories-Category_2,0.0325,77.5,170,60.0,1812.1301775147926,1.5,500,100.0,44813.747494552,224068737.47276,336103.10620914,36.828644333724334,122.64577224059515,296.5993223322216,258.0884395992351,13.24821036926912,339.6776882467353,567.9359723007257,228.2582840539904,1.998104048510207,Butanol-PW1,Acetaldehyde,0.403441860465118,0.67881944753278,929.6138634751707,373.61969598447257,2.702116442126064,470.25406831373977
