,Substrate,Formula_S,C_Sn,H_Sn,O_Sn,MW_S,N_electrons,ParametersType,CellVoltage,CurrentDensity,FaradaicEfficiency,EnergyEfficiency,ByProducts,ByP_FE,Xco2,ElectricityPrice,CO2Price,CarbonTax,Conversion,ElectrolyzerPrice,PlantLife,StreamFactor,ScalingFactor,ElectrodeArea,I,Power,kWh,emol_curr,MaxProductionRate,ActualProductionRate,ActualProductionRate_mass,CO2rate_fed,CO2rate_conv,Cost_elec_h,Cost_CO2_h,Cost_electrolyzer_h,CT_savings_h,ProductionCost_hNOCT,ProductionCost_h,Cost_elec_mol,Cost_elec_mass,Cost_CO2_mass,Cost_electrolyzer_mass,CT_savings_mass,ProductionCost_massNOCT,ProductionCost_mass,CO2_ECons_mass
102,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,ElectrolyzerPrice_Worst,3,300,70,,FormicAcid/CO,30,0.325,0.05,100,100,50,4000,20,0.95,1,42506.07376811774,127518221.30435324,382554663.9130597,382554.6639130597,1321.6332210463177,594734.949470843,416314.46462959005,25.0,136.10628265630135,68.05314132815067,19127.733195652985,13610.628265630134,1021.5350581138607,6805.314132815067,33759.89651939698,26954.58238658191,0.04594539661904762,765.1093278261195,544.4251306252054,40.86140232455443,272.2125653126027,1350.395860775879,1078.1832954632764,2.7221256531260267
103,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,FaradaicEfficiency_Worst,3,300,50,,FormicAcid/CO,50,0.375,0.05,100,100,50,2000,20,0.95,1,59508.50327536484,178525509.8260945,535576529.4782835,535576.5294782835,1850.2865094648446,832628.9292591801,416314.46462959005,25.0,219.86399506017906,109.93199753008953,26778.826473914174,21986.399506017908,715.0745406797025,10993.199753008954,49480.30052061178,38487.100767602824,0.06432355526666665,1071.153058956567,879.4559802407164,28.602981627188104,439.7279901203582,1979.2120208244712,1539.4840307041131,4.397279901203581
104,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,CurrentDensity_Worst,3,100,70,,FormicAcid/CO,30,0.325,0.05,100,100,50,2000,20,0.95,1,127518.22130435324,127518221.30435324,382554663.9130597,382554.6639130597,1321.6332210463177,594734.949470843,416314.46462959005,25.0,136.10628265630135,68.05314132815067,19127.733195652985,13610.628265630134,1532.3025871707912,6805.314132815067,34270.66404845391,27465.349915638843,0.04594539661904762,765.1093278261195,544.4251306252054,61.29210348683165,272.2125653126027,1370.8265619381564,1098.6139966255537,2.7221256531260267
105,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,CellVoltage_Worst,4,300,70,,FormicAcid/CO,30,0.325,0.05,100,100,50,2000,20,0.95,1,42506.07376811774,127518221.30435324,510072885.21741295,510072.88521741296,1321.6332210463177,594734.949470843,416314.46462959005,25.0,136.10628265630135,68.05314132815067,25503.64426087065,13610.628265630134,510.76752905693036,6805.314132815067,39625.040055557714,32819.72592274265,0.06126052882539683,1020.1457704348261,544.4251306252054,20.430701162277217,272.2125653126027,1585.0016022223087,1312.789036909706,2.7221256531260267
106,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,ElectricityPrice_Best,3,300,70,,FormicAcid/CO,30,0.325,0.025,100,100,50,2000,20,0.95,1,42506.07376811774,127518221.30435324,382554663.9130597,382554.6639130597,1321.6332210463177,594734.949470843,416314.46462959005,25.0,136.10628265630135,68.05314132815067,9563.866597826493,13610.628265630134,510.76752905693036,6805.314132815067,23685.262392513556,16879.94825969849,0.02297269830952381,382.55466391305976,544.4251306252054,20.430701162277217,272.2125653126027,947.4104957005422,675.1979303879396,2.7221256531260267
107,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,CO2Price_Best,3,300,70,,FormicAcid/CO,30,0.325,0.05,55,100,50,2000,20,0.95,1,42506.07376811774,127518221.30435324,382554663.9130597,382554.6639130597,1321.6332210463177,594734.949470843,416314.46462959005,25.0,136.10628265630135,68.05314132815067,19127.733195652985,7485.845546096574,510.76752905693036,6805.314132815067,27124.34627080649,20319.032137991424,0.04594539661904762,765.1093278261195,299.433821843863,20.430701162277217,272.2125653126027,1084.9738508322596,812.7612855196569,2.7221256531260267
108,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,CarbonTax_Best,3,300,70,,FormicAcid/CO,30,0.325,0.05,100,170,50,2000,20,0.95,1,42506.07376811774,127518221.30435324,382554663.9130597,382554.6639130597,1321.6332210463177,594734.949470843,416314.46462959005,25.0,136.10628265630135,68.05314132815067,19127.733195652985,13610.628265630134,510.76752905693036,11569.034025785615,33249.12899034005,21680.09496455443,0.04594539661904762,765.1093278261195,544.4251306252054,20.430701162277217,462.7613610314246,1329.9651596136018,867.2037985821772,2.7221256531260267
109,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,Conversion_Best,3,300,70,,FormicAcid/CO,30,0.325,0.05,100,100,70,2000,20,0.95,1,42506.07376811774,127518221.30435324,382554663.9130597,382554.6639130597,1321.6332210463177,594734.949470843,416314.46462959005,25.0,97.21877332592953,68.05314132815067,19127.733195652985,9721.877332592954,510.76752905693036,6805.314132815067,29360.37805730287,22555.063924487804,0.04594539661904762,765.1093278261195,388.87509330371824,20.430701162277217,272.2125653126027,1174.4151222921148,902.2025569795121,2.7221256531260267
110,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,ElectrolyzerPrice_Best,3,300,70,,FormicAcid/CO,30,0.325,0.05,100,100,50,1000,20,0.95,1,42506.07376811774,127518221.30435324,382554663.9130597,382554.6639130597,1321.6332210463177,594734.949470843,416314.46462959005,25.0,136.10628265630135,68.05314132815067,19127.733195652985,13610.628265630134,255.38376452846518,6805.314132815067,32993.74522581158,26188.431092996514,0.04594539661904762,765.1093278261195,544.4251306252054,10.215350581138608,272.2125653126027,1319.7498090324632,1047.5372437198605,2.7221256531260267
111,Glycolaldehyde,C2H4O2,2,4,2,60.05076,8,FaradaicEfficiency_Best,3,300,90,,FormicAcid/CO,10,0.275,0.05,100,100,50,2000,20,0.95,1,33060.27959742491,99180838.79227473,297542516.3768242,297542.5163768242,1027.9369497026914,462571.62736621115,416314.46462959005,25.0,89.5742202097026,44.7871101048513,14877.12581884121,8957.42202097026,397.26363371094584,4478.71101048513,24231.81147352242,19753.100463037288,0.03573530848148148,595.0850327536484,358.2968808388104,15.890545348437835,179.1484404194052,969.2724589408967,790.1240185214915,1.791484404194052
